MGI ID,Appr Gene (h),PSD95 Complex  ,NR Complex ,mGluR5 Complex,human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Perm 0.01),t-test p value
MGI:95820,GRIN2A,YES,YES,YES,951,309,1.027461,0.9530963,1.121045,-1.309802,-1.008765,-1.562811,-1.2937926666666666,1.0338674333333333,5.019905132500887,+,0.000154931968137497
MGI:104560,NSF,YES,YES,YES,222,2190,3.050921,4.066058,3.770522,3.360871,4.805552,4.163275,4.109899333333334,3.6291670000000003,0.7166137679224652,,0.40365445764328
MGI:2388633,CLTC,YES,YES,YES,767,982,4.540124,3.59152,4.004954,3.970484,5.205805,4.68292,4.619736333333333,4.045532666666666,0.671656887709303,,0.27208033712337
MGI:1353495,SLC25A4,YES,YES,NO,729,219,-0.7861459,-2.633695,-4.733008,3.293737,2.645695,1.863456,2.6009626666666668,-2.7176162999999995,0.025058103385220052,,0.0118251669529919
MGI:99432,ARF3,YES,YES,NO,1321,1026,-0.5993139,-2.603954,-5.061377,0.7556896,0.5641935,-1.214523,0.03512003333333332,-2.7548816333333335,0.14458585595593373,,0.123710595645242
MGI:107363,STXBP1,YES,YES,NO,1098,1849,-2.846146,-2.331483,-2.83605,5.526147,6.182607,6.722121,6.143625,-2.6712263333333333,0.0022205744645548316,+,2.16215632089511e-05
MGI:87880,ACO2,YES,YES,NO,582,240,-2.41684,-1.370171,-2.371787,1.861834,2.760288,1.613237,2.078453,-2.0529326666666665,0.057059635190396404,+,0.00106632065420409
MGI:1346858,MAPK1,YES,YES,NO,,,-1.803488,-1.04272,-2.232284,0.991588,-0.6703464,2.196083,0.8391082,-1.6928306666666666,0.1729061552653159,,
MGI:99523,PRDX1,YES,YES,NO,60,427,-1.415844,-0.5989122,-0.6773818,1.334572,1.851238,-0.986142,0.7332226666666667,-0.8973793333333333,0.3229534192797255,,0.147798630594626
MGI:1316660,CACNG2,YES,YES,NO,82,783,-0.4564516,-0.2673288,0.3853237,-0.9502126,-2.174236,-1.317084,-1.4805108666666669,-0.1128189,2.5805739374493353,,0.0367524731157289
MGI:97623,PLP1,YES,YES,NO,1440,406,0.03633294,0.6086839,-0.3528226,3.606743,3.870334,4.168072,3.8817163333333333,0.09739808000000001,0.07257828347119454,+,0.000303161405355024
MGI:1915339,ARPC4,YES,YES,NO,2155,926,0.7426664,0.3208558,0.08284438,0.5341964,1.201289,-0.430849,0.43487879999999995,0.38212219333333336,0.964092443553504,,0.922821457983349
MGI:101931,SLC1A2,YES,YES,NO,1672,2058,1.998713,1.442065,0.7006913,-0.2874877,-0.4558797,0.228444,-0.17164113333333333,1.3804897666666667,2.932499576692122,,0.0223363242468854
MGI:1194500,ABLIM1,YES,YES,NO,1776,1688,0.9021313,1.553571,1.489056,-0.06156084,1.859964,1.144239,0.98088072,1.3149194333333334,1.2605372164325321,,0.606084926562913
MGI:2685385,KALRN,YES,YES,NO,909,2119,1.126597,0.8649065,1.452926,-2.497287,-0.9517039,-2.262329,-1.9037733,1.1481431666666666,8.293128614691232,+,0.00392144193258176
MGI:107164,PPP3CA,YES,YES,NO,1271,421,1.732249,2.066677,1.52124,1.824431,2.0685,2.454859,2.11593,1.7733886666666665,0.7886508648525261,,0.230953245835465
MGI:102520,PHB2,YES,YES,NO,868,1498,2.753658,2.279355,1.454532,3.710084,3.108572,1.99408,2.937578666666667,2.1625150000000004,0.5843628355631568,,0.28592876464991
MGI:1861691,LGI1,YES,YES,NO,661,384,1.606585,2.343879,2.308125,-1.292248,-2.008301,-0.7966244,-1.3657244666666666,2.086196333333333,10.942881680545632,+,0.00125872652660362
MGI:95739,GLUL,YES,YES,NO,354,2150,2.507305,3.041422,2.60705,2.763091,1.864841,1.263825,1.963919,2.7185923333333335,1.687249508339466,,0.180261735507926
MGI:1346065,DLGAP1,YES,YES,NO,691,2169,2.606014,3.020283,3.269557,1.188967,1.625624,0.6876398,1.1674102666666666,2.965284666666667,3.4770755154714506,+,0.00569518021609804
MGI:95821,GRIN2B,YES,YES,NO,1639,1491,2.990643,2.992131,3.006639,-1.201054,0.7074219,0.758069,0.08814563333333332,2.9964709999999997,7.507462516502083,,0.0107357136973146
MGI:107231,DLG1,YES,YES,NO,959,1834,3.015833,2.870805,2.839462,0.4329333,0.35531,0.7341948,0.5074793666666667,2.9086999999999996,5.282499162138997,+,4.70796165010377e-05
MGI:1353496,SLC25A5,YES,YES,NO,257,608,4.122319,3.584254,2.337164,0.9794341,-0.6448253,-1.40341,-0.35626706666666674,3.3479123333333334,13.033741662007337,,0.0135674036711153
MGI:95819,GRIN1,YES,YES,NO,2090,2247,3.41243,3.695313,3.017684,-0.08496168,0.5034416,0.8914999,0.43665994,3.3751423333333332,7.666044609393911,+,0.00104508647240603
MGI:95640,GAPDH,YES,YES,NO,1408,1310,3.377824,3.399761,3.480088,3.873467,3.806634,4.643485,4.107862,3.4192243333333336,0.6204394528641154,,0.0634606222071661
MGI:106915,VDAC2,YES,YES,NO,1331,453,3.517385,3.956507,3.488855,5.445371,5.105292,4.208278,4.919647,3.654249,0.41598459278294936,,0.0337651950106443
