Table S3. Specific gene transcripts regulated at 7d and 14d post-treatment,,,,,,,,,,,,
,7d,,,,14d,,,,,,,
Oligo Key,Systematic Oligo_ID,Model name,Fold Change,Log Ratio,Systematic Oligo_ID,Model name,Fold Change,Log Ratio,Annotation,Best Brugia CDS match or EST,Matching Pub_locus,C. elegans homolog
1,bm.01196,BMC05359,0.20767213,-2.2676204781687326,bm.01196,BMC05359,0.24763505,-2.0137125683705124,cuticular collagen,BMC05359,,
2,bm.00553,BMC02185,0.37801868,-1.4034705671143224,bm.00553,BMC02185,0.46489707,-1.1050167615445534,unknown,BMC02185,,
3,bm.03169,BMC00024,0.4250548,-1.2342792428331306,bm.03169,BMC00024,2.1657803,1.1148869012212201,ATP synthase F0 subunit 6 [Brugia malayi],BMC00024,,
4,BMX12808,TC2798,0.45155972,-1.1470112942237702,BMX12808,TC2798,0.34077168,-1.5531226502309958,cuticular collagen Bmcol-2,TC2798,,
5,bm.03332,BMC06482,0.4529437,-1.1425963575928209,bm.03332,BMC06482,0.31606963,-1.6616856763906669,"Cathepsin L-like precursor (CPL-4), putative",14514.m00011,Bm1_20385,CE22930
6,bm.03295,BMC04477,2.007433,1.0053518372166663,bm.03295,BMC04477,3.2144876,1.684588785499029,"60S ribosomal protein L10, putative",14961.m05345,Bm1_34250,CE01543
7,BMX11757,BMW01267.350,2.0091858,1.0066109838542265,BMX11757,BMW01267.350,0.3801908,-1.3952044733558289,unknown,BMW01267.350,,
8,BMX13047,TC3046,2.0985057,1.0693623819041012,BMX11073,W05384,2.0563464,1.0400833129108604,"GTP-binding nuclear protein RAN/TC4, putative",14979.m04454,Bm1_44725,CE16194
9,bm.01688,BMC11749,2.1114285,1.0782193935081705,BMX11189,BMB_gene_8.247,2.9415224,1.5565630225663192,"fructose-bisphosphate aldolase 1, putative",14176.m00093,Bm1_15350,CE30646
10,BMX10436,AW179696,2.1492088,1.1038056503279492,BMX10436,AW179696,2.2998805,1.201558901806065,unknown,AW179696,,
11,"BMX13511, BMX12123","TC3524, WB-contig_1287",2.17,1.1176950426697545,bm.01138,BMC05056,4.905132,2.294291960742782,"Vacuolar protein sorting-associated protein 45, putative",14961.m05052,Bm1_32805,CE30898
12,bm.00610,BMC02427,2.2157044,1.1477654224068863,bm.00610,BMC02427,2.5288246,1.3384669747292122,EF hand family protein,15273.m00029,Bm1_55540,CE34292
13,BMX2479,14232.m00275,2.2234852,1.1528228018301152,BMX2479,14232.m00275,2.1408546,1.0981868158158254,hypothetical protein,14232.m00275,Bm1_16160,
14,bm.01402,BMC06617,2.2635827,1.1786080164158137,bm.01402,BMC06617,4.478721,2.16308679692518,"Probable ATP-dependent RNA helicase p47 homolog, putative",13367.m00046,Bm1_08205,CE26264
15,bm.00254,BMC00826,2.300265,1.2018000751535225,bm.00254,BMC00826,2.1242616,1.0869614430643981,"Elongation factor 1 gamma, conserved domain containing protein",14992.m11155,Bm1_51865,CE32385
16,bm.00235,BMC00748,2.334379,1.223038809987645,BMX2805,14355.m00213,3.6970675,1.8863813840786507,"14-3-3-like protein 2, putative",13662.m00125,Bm1_10970,CE36489
17,BMX13142,TC3144,2.3842542,1.253538058589028,BMX13142,TC3144,2.1741786,1.1204704568099917,"40S ribosomal protein S4, putative",13260.m00097,Bm1_06615,CE24278
18,BMX4257,14894.m00090,2.4110544,1.2696642024646307,BMX4257,14894.m00090,4.6241174,2.209178026352371,"elongation factor 1-alpha (EF-1-alpha), putative",14894.m00090,Bm1_27170,CE32610
19,BMX851,13183.m00070,2.4736862,1.3066624985287458,BMX851,13183.m00070,2.8026001,1.4867659024489217,"proteasome subunit alpha type 6, putative",13183.m00070,Bm1_05700,CE05371
20,BMX10490,AW561840,2.5277572,1.3378578942197195,BMX10490,AW561840,2.1527781,1.1061996197707795,unknown,AW561840,,
21,bm.00409,BMC01550,2.5352864,1.342148731260504,bm.00409,BMC01550,2.3770347,1.2491629639250752,"Eukaryotic translation initiation factor 5A-2, putative",15549.m00017,Bm1_57565,CE37787
22,bm.01565,BMC07946,2.5805826,1.3676968095420166,bm.01565,BMC07946,2.211568,1.145069602062275,"initiation factor 2-associated protein., putative",14972.m07280,Bm1_37925,CE03743
23,BMX13144,TC3146,2.6056564,1.38164685263264,BMX13144,TC3146,2.3174274,1.2125241430360985,"Ribosomal Protein, Small subunit family member (rps-20) [Caenorhabditis elegans] ",TC3146,,
24,bm.00430,BMC01633,2.6827805,1.4237290208616267,bm.00430,BMC01633,0.49158892,-1.0244756959408168,gb|AAA16306.1| unknown,BMC01633,,
25,BMX6958,14977.m04966,2.6884084,1.4267523166507416,BMX6958,14977.m04966,2.6973517,1.4315436427323944,hypothetical protein,14977.m04966,Bm1_43595,CE27472
26,BMX8336,14992.m11155,2.7170708,1.4420521590372863,BMX8336,14992.m11155,4.16002,2.056590464383545,"Elongation factor 1 gamma, conserved domain containing protein",14992.m11155,Bm1_51865,CE32385
27,"BMX12900, bm00877","TC2895, BMC03488",2.74,1.4541758931858022,bm.03239,BMC01632,4.5358186,2.181362944047007,"60S ribosomal protein L5, putative",14961.m04902,Bm1_32050,CE02255
28,BMX5751,14972.m06982,2.7428956,1.455699711421105,BMX5751,14972.m06982,3.4378731,1.7815162925240697,activated protein kinase C receptor RACK1,14972.m06982,Bm1_36465,CE00901
29,BMX1802,13785.m00207,2.8771663,1.5246486111541835,BMX1802,13785.m00207,7.191897,2.8463723591931154,hypothetical protein,13785.m00207,Bm1_11840,
30,BMX2759,14325.m00128,2.9316907,1.551732903910257,BMX2759,14325.m00128,3.9266443,1.9732969155830562,Mak16 protein,14325.m00128,Bm1_17915,CE04006
