Supplementary Table 9: Probeset associations with known bone-related GWAS loci,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GWAS SNP,Chr. location,HOb PS,HOb PV (PS),LCL PS,LCL PV (PS),SNP in LD,Chr. location,R2,D',HOb PS,HOb PV (PS),LCL PS,LCL PV (PS),HOb (PV min)
rs6007594,22:44107034,3948557,0.003525,3948596,6.301e-06,rs136564*,22:44143538,0.1,1,3948557,4.884e-07,3948570,1.18e-11,4.884e-07
rs1422795,5:156868942,2883492,0.0002674,2883559,0.0005241,rs6899205*,5:156875863,0.7,1,2883475,1.516e-05,2883559,0.003251,1.516e-05
rs6712473,2:33267144,2476600,3.477e-05,2476518,0.01967,rs2290449*,2:33296053,0.8,1,2476594,9.13e-05,2476658,0.05964,3.477e-05
rs2238599,19:2091009,3845711,0.002559,3845736,1.921e-05,rs3786971*,19:2092209,0.7,1,3816241,0.0001927,3845751,1.779e-05,0.0001927
rs12437971,15:98662088,3641814,0.154,3641807,0.05318,rs6598327*,15:98678070,0.1,1,3641788,0.0004753,3641666,0.001266,0.0004753
rs3134295,8:104496535,3110264,0.03708,3110264,0.02316,rs3133810*,8:104484294,0.1,1,3110372,0.0003887,3110335,0.006126,0.0003887
rs8100029,19:7354832,3818944,0.007264,3818867,0.008752,rs11879985*,19:7326223,0.6,1,3818893,0.0004336,3818914,0.01474,0.0004336
rs12775433*,10:101824082,3260469,0.000618,3303375,0.002667,rs7906355,10:101828257,0.8,1,3303371,0.003067,3303274,0.005184,0.000618
rs9328576*,15:98633466,3641792,0.001209,3641638,0.05038,rs4965623,15:98638227,0.5,1,3641792,0.002797,3641816,0.0222,0.001209
rs9898793,17:40471839,3759369,0.001774,3759566,0.0004968,rs2337437*,17:40451755,0.1,1,3759384,0.001103,3759700,0.02229,0.001103
rs9329383,19:7390741,3818944,0.005885,3848485,0.001247,rs4804602*,19:7393313,0.1,1,3818805,0.0005744,3818792,0.0002951,0.0005744
rs10490823,3:41098739,2670587,0.002805,2670583,0.02355,rs6788984*,3:41082177,0.3,1,2670617,0.0004596,2670613,0.08321,0.0004596
rs879368,9:100035579,3217197,0.02246,3217299,0.009096,rs1573025*,9:100031251,0.7,1,3217217,0.0001481,3217199,0.02778,0.0001481
rs2157839,17:40506926,3759416,0.002844,3723189,0.0006501,rs2239920*,17:40525948,0.5,1,3759416,0.0001232,3723189,0.0002789,0.0001232
rs2232965,19:18287950,3855001,0.001848,3854874,0.006201,rs12985909*,19:18300383,0.4,1,3855043,0.001585,3854966,0.009775,0.001585
rs227584,17:39581073,3759142,0.003874,3722788,5.517e-06,rs11652516*,17:39628112,0.4,1,3759154,0.001892,3722801,6.018e-05,0.001892
rs712219,6:152020132,2979732,0.00851,2979720,0.03284,rs851997*,6:152027243,0.4,1,2979732,0.0003446,2931734,0.04134,0.0003446
rs11711157,3:195543521,2658628,0.03344,2711775,0.003465,rs6763011*,3:195548028,0.2,1,2711636,0.0006199,2711691,0.008567,0.0006199
rs1007738,11:46805936,3371792,0.0002774,3329470,0.01678,rs7101374*,11:46780817,1,1,3371792,0.0003505,3329470,0.01666,0.0002774
rs6485702,11:46855347,3371792,0.000899,3329470,0.003039,rs1007738*,11:46805936,0.5,1,3371792,0.0002774,3329470,0.01678,0.0002774
rs563811,11:107277314,3389985,0.003746,3389987,0.001247,rs10890774*,11:107267436,0.2,1,3389991,0.0005004,3389981,0.007698,0.0005004
rs10164815,2:187406128,2519288,0.006723,2591302,0.03434,rs3114949*,2:187413111,0.2,1,2519312,0.001001,2591301,0.0061,0.001001
rs2666472,1:62501372,2415950,0.004136,2415948,0.001182,rs12062559*,1:62497341,0.1,1,2339430,0.002298,2415859,0.004084,0.002298
rs7751941,6:151988351,2979682,0.00987,2931714,0.005217,rs6929137*,6:151978370,0.7,1,2931702,0.003093,2931714,0.01361,0.003093
rs6929137*,6:151978370,2931702,0.003093,2931714,0.01361,rs3734806,6:151983154,1,1,2931702,0.003336,2931714,0.01142,0.003093
rs6908735,6:70953236,2960180,0.004581,2960171,0.03358,rs802173*,6:70931955,0.4,1,2912828,0.001575,2912708,0.01351,0.001575
rs6769400,3:36933999,2669202,0.002812,2669257,0.09637,rs7622114*,3:36935664,0.5,1,2669259,0.00109,2616986,0.01893,0.00109
rs5910713,X:118966109,4019633,0.03604,3989066,0.01409,rs7063278*,X:119000782,0.5,1,4019633,0.002489,3989072,0.02304,0.002489
rs2010281,14:102932075,3553838,0.03802,3580770,0.002471,rs2065015*,14:102973814,0.4,1,3553694,0.008077,3553835,0.00111,0.008077
rs10984103,9:99679096,3181320,0.01822,3217182,0.03796,rs10512256*,9:99726636,0.3,1,3181466,0.002912,3217174,0.01795,0.002912
rs3730071,12:47455065,3413703,0.02742,3413530,0.0007837,rs10783284*,12:47438303,0.1,1,3453176,0.004502,3413508,0.007549,0.004502
rs12767483,10:128986846,3269943,0.06157,3269977,0.01655,rs2766034*,10:128992767,0.1,1,3269943,0.001269,3269991,0.04845,0.001269
rs6696981,1:22575445,2324840,0.05837,2401019,0.02499,rs4655056*,1:22588073,0.1,1,2324850,0.002757,2324843,0.01833,0.002757
rs2788478,7:158365380,3034471,0.000102,3034511,0.0001637,rs12672574,7:158376913,0.2,1,3034484,0.001484,3034494,0.007996,0.000102
rs9934109,16:70037740,3697685,0.02866,3697642,0.006877,rs732318*,16:70037393,0.1,1,3667656,0.02897,3697486,0.006876,0.02866
