Table S2.  Average Fst G. soja vs. Landraces and Fst Elite cultivars vs. Landraces in 100kbp windows along each chromosome,,,,
Chromosome,Start position,End position,Average Fst G. soja vs. Landraces,Average Fst Elite cultivars vs. Landraces
Gm01,1,100000,0.269338181818182,0.184570909090909
Gm01,100001,200000,0.276772857142857,0.161562857142857
Gm01,200001,300000,0.20529875,0.18259375
Gm01,300001,400000,0.377692,0.083474
Gm01,400001,500000,0.0844615384615385,0.0920038461538462
Gm01,500001,600000,0.213412,0.12595
Gm01,600001,700000,0.30391,0.105315
Gm01,700001,800000,0.22121,0.354765
Gm01,800001,900000,0.065986,0.174212
Gm01,900001,1000000,0.194128571428571,0.178077142857143
Gm01,1000001,1100000,0.349222,0.023058
Gm01,1100001,1200000,0.08902,0.005075
Gm01,1200001,1300000,0.08412,0.114925
Gm01,1300001,1400000,0.139591666666667,0.165980833333333
Gm01,1400001,1500000,0.071891,0.213168
Gm01,1500001,1600000,0.0762236363636364,0.171908181818182
Gm01,1600001,1700000,0.1352025,0.19512
Gm01,1700001,1800000,0.034775,0.24153
Gm01,1800001,1900000,0.108192,0.323192
Gm01,1900001,2000000,0.213316666666667,0.265223333333333
Gm01,2000001,2100000,0.180116,0.35027200000000003
Gm01,2100001,2200000,0.141308571428571,0.170558571428571
Gm01,2200001,2300000,0.233947272727273,0.147434545454545
Gm01,2300001,2400000,0.43706,0.036924
Gm01,2400001,2500000,0.497913333333333,0.0175466666666667
Gm01,2500001,2600000,0.236891428571429,0.167707142857143
Gm01,2600001,2700000,0.305722857142857,0.127827142857143
Gm01,2700001,2800000,0.332121666666667,0.1049675
Gm01,2800001,2900000,0.1274,0.2909
Gm01,2900001,3000000,0.45027,0.12547
Gm01,3000001,3100000,0.32734875,0.11203
Gm01,3100001,3200000,0.215838,0.103592
Gm01,3200001,3300000,0.222745,0.01974125
Gm01,3300001,3400000,0.086275,0.0015225
Gm01,3400001,3500000,0.207203333333333,0.0408433333333333
Gm01,3500001,3600000,0.319597222222222,0.0777277777777778
Gm01,3600001,3700000,0.283621666666667,0.104048333333333
Gm01,3700001,3800000,0.138711666666667,0.098305
Gm01,3800001,3900000,0.2031,0.042717
Gm01,3900001,4000000,0.322025714285714,0.0349628571428571
Gm01,4000001,4100000,0.251148235294118,0.214864705882353
Gm01,4100001,4200000,0.20341625,0.1651
Gm01,4200001,4300000,0.115495,0.3123475
Gm01,4300001,4400000,0.28032,0.16195
Gm01,4400001,4500000,0.175485,0.199466666666667
Gm01,4500001,4600000,0.130268888888889,0.103156666666667
Gm01,4600001,4700000,0.122401818181818,0.0560463636363636
Gm01,4700001,4800000,0.221617777777778,0.0251933333333333
Gm01,4800001,4900000,0.098672,0.014304
Gm01,4900001,5000000,0.210904,0.020821
Gm01,5000001,5100000,0.365783333333333,0.00339
Gm01,5100001,5200000,0.111126666666667,0.0266311111111111
Gm01,5200001,5300000,0.00961222222222222,0.0236433333333333
Gm01,5300001,5400000,0.399,0.05295
Gm01,5400001,5500000,0.089775,0.02521
