,,,,,,
,,,,,,
Table supplementary S4. Genes expressed differently in cell lines compared with normal cervical epitheliuma,,,,,,
GEN SYMBOL,GENE ID,CHROMOSOME,CYTOBAND,GENE START,Score(d),Fold Changeb
OR4F29,729759,1,1p36.33,356723,-6.87925203174958,0.437163563679081
OR4F16,81399,1,1p36.33,610959,-6.87925203174958,0.437163563679081
C1orf159,54991,1,1p36.33,1007068,5.32524196752633,1.61438920574977
ATAD3C,219293,1,1p36.33,1387910,6.00971811321172,2.20210381355956
ATAD3B,83858,1,1p36.33,1397027,5.819697100404815,2.24568183438188
ATAD3A,55210,1,1p36.33,1437418,6.085557337239827,2.2887369332009233
TNFRSF14,8764,1,1p36.32,2479150,-5.93258194909032,0.493452207484864
ARHGEF16,27237,1,1p36.32,3369982,5.12705441353515,1.56360617075688
KCNAB2,8514,1,1p36.31,6008967,8.015738663161,2.82280642728752
CHD5,26038,1,1p36.31,6084440,5.43144067207494,1.61403601044736
RPL22,6146,1,1p36.31,6167667,-7.80038332051758,0.255371426602849
ICMT,23463,1,1p36.31,6203840,6.1847511705181,1.54007425951396
C1orf211,148645,1,1p36.31,6221281,5.08741395149531,1.6188918017336
ENO1,2023,1,1p36.23,8843650,7.02333917994982,2.55320934501783
SLC25A33,84275,1,1p36.22,9522115,6.56157020900756,1.99430875647547
CTNNBIP1,56998,1,1p36.22,9830921,-7.4862722641461,0.449169705676989
MAD2L2,10459,1,1p36.22,11657124,8.76928135823919,3.21575315248201
TNFRSF1B,7133,1,1p36.22,12149647,-9.30011092481922,0.449916406972003
VPS13D,55187,1,1p36.22,12212700,-6.23757325305332,0.3849155117279
AADACL3,126767,1,1p36.21,12698705,5.0696838295256,1.55977581115585
PDPN,10630,1,1p36.21,13782839,-9.56866966138154,0.321355020480216
PRDM2,7799,1,1p36.21,13903937,-7.15939886440323,0.30546450070545
C1orf144,26099,1,1p36.13,16566307,5.66881732428856,1.65642947906301
MFAP2,4237,1,1p36.13,17173584,-6.60612501995403,0.528366242367411
SDHB,6390,1,1p36.13,17217804,5.64910738922562,1.90130225601696
RCC2,55920,1,1p36.13,17605866,5.74606248490267,1.79636281891907
PAX7,5081,1,1p36.13,18830087,5.13446182122087,1.75215130996252
KIAA0090,23065,1,1p36.13,19417171,6.39610695413244,1.83418541143005
NBL1,4681,1,1p36.13,19842313,-5.59006086531994,0.528703653016575
C1orf166,79594,1,1p36.12,20698530,5.58124439750311,1.76857755302043
C1QA,712,1,1p36.12,22835705,-9.51438138623043,0.396584651772168
C1QC,714,1,1p36.12,22842734,-11.1429063832309,0.322934802604366
C1QB,713,1,1p36.12,22852269,-5.79188413739765,0.49950485881305
AOF2,23028,1,1p36.12,23218533,5.2864573606192,2.29557714610777
TCEA3,6920,1,1p36.12,23580142,-6.32675870986569,0.223396568942288
MAN1C1,57134,1,1p36.11,25816546,-8.40684000108488,0.516918497273075
C1orf135,79000,1,1p36.11,26033084,10.5397697276814,4.1937216735203
STMN1,3925,1,1p36.11,26099194,6.719221826189525,2.14972662675591
CCDC21,64793,1,1p36.11,26433280,10.2483016688437,2.8047730714486
CD52,1043,1,1p36.11,26516998,-7.70548666731405,0.302428456701993
RPS6KA1,6195,1,1p36.11,26728836,8.48868682733705,2.49285620529303
