,,,,,TargetScan,MICROCOSM,DIANA,miRDB,microRNA.org
miR-1/206,***,,,miR-1,***,,,,yes
miR-134,*,,,miR-1192,*,,,,
miR-185/882,**,*,,miR-134,*,,,yes,
miR-200bc/429,***,,,miR-185,"**,*",,,yes,yes
miR-203,***,,,miR-200b,***,,,,yes
miR-29abc,***,,,miR-200c,***,,,,yes
miR-300,*,*,,miR-203,***,,,,yes
miR-329/362-3p,*,,,miR-206,***,,,yes,yes
miR-361/361-5p,**,,,miR-29a,***,,yes,yes,yes
miR-383,***,,,miR-29b,***,yes,yes,yes,yes
miR-410,**,,,miR-29c,***,,yes,yes,yes
miR-452.h,*,,,miR-300,"*,*",,,,
miR-494,*,,,miR-329,*,,,,
miR-495/1192,*,,,miR-361,**,,,,
miR-542-5p.h,*,,,miR-361-5p,**,yes,yes,yes,yes
miR-548a-3p/548ef,*,,,miR-362-3p,*,,,,
miR-548c-3p,*,,,miR-383,***,,,,yes
miR-548d-3p,*,*,,miR-410,**,,,,yes
miR-548p,*,*,,miR-429,***,,,,yes
miR-556-3p,*,,,miR-452,*,,,yes,yes
miR-569,*,,,miR-494,*,,,,
miR-574-5p,*,,,miR-495,*,,,,
miR-576-3p,*,,,miR-542-5p,*,,,,
miR-576-5p,*,,,miR-548a-3p,*,,yes,,yes
miR-578,*,,,miR-548c-3p,*,,,,yes
miR-590/590-3p,*,,,miR-548d-3p,"*,*",,,yes,yes
miR-603,*,,,miR-548e,*,,,,yes
miR-607,*,,,miR-548f,*,,,,yes
miR-638,*,,,miR-548p,"*,*",,,yes,yes
miR-655,*,,,miR-556-3p,*,,,,yes
miR-889,*,,,miR-569,*,,,,yes
miR-939,*,,,miR-574-5p,*,,,,
miR-943,*,,,miR-576-3p,*,,,,
miR-944,*,,,miR-576-5p,*,,,yes,yes
,,,,miR-578,*,,,yes,yes
,,,,miR-590,*,,,,
,,,,miR-590-3p,*,,,,
,,,,miR-603,*,,,,
,,,,miR-607,*,,,,
,,,,miR-638,*,,,,
,,,,miR-655,*,,,yes,yes
,,,,miR-882,"**,*",,,,
,,,,miR-889,*,,,yes,yes
,,,,miR-939,*,,yes,,
,,,,miR-943,*,yes,,,
,,,,miR-944,*,,,yes,yes
,,,,miR-126,,yes,yes,,yes
,,,,miR-613,,,yes,,yes
,,,,miR-920,,,yes,,
,,,,miR-656,,,yes,,
,,,,miR-2053,,,,yes,
,,,,miR-1975,,,,yes,
