"Table S7A. Combined KEGG, C2, and GO systems map  for Drosophila and Mammalian orthologues of Drosophila candidate pain genes and binding partners",,,,,,,,,,,,
KEGG/C2,Gene sets,Gene set categories,Human Gene Symbol,Mouse Gene Symbol,Human Entrez ID,Mouse Entrez ID,Human Entrez to CGID,Mouse Entrez to CGID,Drosophila CGID,Unique List of CGID,Unique List of CGID per Category,No. of genes per categeory
C2,ALZHEIMERS_INCIPIENT_DN,Alzheimers,"CSNK1G3,GLRX,HSP90AA1,HSP90AB1,NHP2L1,PAFAH1B1,PDHA1,PPA1,PPP3R1,PDHX,COX7A2L,DRAP1,MRPL15,KCNIP1,KIDINS220,C9orf16","Csnk1g3,Drap1,Glrx,Hsp90aa1,Hsp90ab1,Kcnip1,Mrpl15,Nhp2l1,Pafah1b1,Pdha1,Pdhx,Ppa1,Ppp3r1","1456,2745,3320,3326,4809,5048,5160,5464,5534,8050,9167,10589,29088,30820,57498,79095","70425,66556,93692,15519,15516,70357,27395,20826,18472,18597,27402,67895,19058","CG6963,CG6852,CG1242,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818","CG6963,CG10318,CG6852,CG1242,CG1242,CG5890,CG5219,CG3949,CG8440,CG7010,CG5261,CG4634,CG14353",,"CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818","CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818,CG8107,CG7109,CG8203,CG4027,CG9096,CG18069,CG32183,CG11326,CG6570,CG11525,CG5499,CG17489,CG5119,CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG2174",54
C2,P35ALZHEIMERSPATHWAY,Alzheimers,"CAPNS1,PPP2CA","Capn1,Capns1,Capns2,Cdk5,Ppp2ca","826,5515","12333,12336,69543,12568,19052","CG8107,CG7109","CG8107,CG8107,CG8107,CG8203,CG7109",,"CG8107,CG7109,CG8203","CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818,CG8107,CG7109,CG8203,CG4027,CG9096,CG18069,CG32183,CG11326,CG6570,CG11525,CG5499,CG17489,CG5119,CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG2174",54
C2,AGED_MOUSE_CEREBELLUM_DN,Alzheimers,"ACTA1,CCND1,CAMK2G,CYR61,THBS1,LBX1","Acta1,Camk2g,Ccnd1,Cyr61,Lbx1,Thbs1","58,595,818,3491,7057,10660","11459,12325,12443,16007,16814,21825","CG4027,CG9096,CG18069,CG32183,CG11326,CG6570","CG4027,CG18069,CG9096,CG32183,CG6570,CG11326",,"CG4027,CG9096,CG18069,CG32183,CG11326,CG6570","CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818,CG8107,CG7109,CG8203,CG4027,CG9096,CG18069,CG32183,CG11326,CG6570,CG11525,CG5499,CG17489,CG5119,CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG2174",54
C2,AGED_MOUSE_CORTEX_UP,Alzheimers,"ACTB,CCNG1,H2AFZ,PAFAH1B1,RPL5,PABPC1","Actb,Ccng1,H2afz,Pabpc1,Pafah1b1,Rpl5","60,900,3015,5048,6125,26986","11461,12450,51788,18458,18472,19983","CG4027,CG11525,CG5499,CG8440,CG17489,CG5119","CG4027,CG11525,CG5499,CG5119,CG8440,CG17489",,"CG4027,CG11525,CG5499,CG8440,CG17489,CG5119","CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818,CG8107,CG7109,CG8203,CG4027,CG9096,CG18069,CG32183,CG11326,CG6570,CG11525,CG5499,CG17489,CG5119,CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG2174",54
C2,ALZHEIMERS_INCIPIENT_UP,Alzheimers,"CHD2,EP300,EPS8,FBN1,FBN2,FGFR3,H3F3B,IPP,CYP4F3,NAP1L1,NOTCH4,PABPC3,PAH,PDE4C,YES1,ZNF24,ARID1A,CDC14A,TAOK2,PRDX6,SGK2,PLXNB2,FZR1,ZNF444,ENAH,CTPS2,CALML4,H2AFV","Arid1a,Calml4,Cdc14a,Ctps2,Enah,Ep300,Eps8,Fbn1,Fbn2,Fgfr3,Fzr1,H2afv,H3f3b,Ipp,Myo10,Nap1l1,Notch4,Pah,Pde4c,Plxnb2,Prdx6,Sgk2,Yes1","1106,2033,2059,2200,2201,2261,3021,3652,4051,4673,4855,5042,5053,5143,7525,7572,8289,8556,9344,9588,10110,23654,51343,55311,55740,56474,91860,94239","93760,75600,229776,55936,13800,328572,13860,14118,14119,14184,56371,77605,15081,16351,17909,53605,18132,18478,110385,140570,11758,27219,22612","CG3733,CG15319,CG4276,CG3936,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG3936,CG5119,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG31364,CG6930,CG15112,CG6854,CG17769,CG5499","CG7467,CG17769,CG7134,CG6854,CG15112,CG15319,CG4276,CG3936,CG3936,CG7223,CG3000,CG5499,CG5825,CG9426,CG2174,CG5330,CG3936,CG7399,CG14940,CG11081,CG3083,CG4006,CG7524,CG7873",,"CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG5119,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG5499,CG2174","CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818,CG8107,CG7109,CG8203,CG4027,CG9096,CG18069,CG32183,CG11326,CG6570,CG11525,CG5499,CG17489,CG5119,CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG2174",54
KEGG,Lysine degradation,Amino Acid Metabolism,,,,"110446,110460,15108,192289",,"CG10932,CG10932,CG7113,CG4335",,"CG10932,CG7113,CG4335","CG10932,CG7113,CG4335,CG2060,CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473,CG4581",12
C2,TRYPTOPHAN_METABOLISM,Amino Acid Metabolism,"ACAT1,ACAT2,CYP3A7,CYP3A4,CYP3A5,CYP4B1,CYP4F8","Acat1,Acat2,Cyp4b1","38,39,1551,1576,1577,1580,11283","110446,110460,13120","CG10932,CG10932,CG2060,CG2060,CG2060,CG2060,CG2060","CG10932,CG10932,CG2060",,"CG10932,CG2060","CG10932,CG7113,CG4335,CG2060,CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473,CG4581",12
KEGG,Alanine and aspartate metabolism ,Amino Acid Metabolism,,,"16,1737,1738,2571,2572,5160,5161,57505","13382,14415,14417,18597,18598,224805,234734,235339","CG4633,CG5261,CG7430,CG7811,CG7811,CG7010,CG7010,CG4633","CG7430,CG7811,CG7811,CG7010,CG7010,CG4633,CG4633,CG5261","CG11876,CG4633,CG5261,CG5473,CG7010,CG7430,CG7811","CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473","CG10932,CG7113,CG4335,CG2060,CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473,CG4581",12
KEGG,"Valine, leucine and isoleucine biosynthesis and degradation",Amino Acid Metabolism,,,"5160,5161","110446,110460,13382,15108,231086,52538,18597,18598","CG7010,CG7010","CG10932,CG10932,CG7430,CG7113,CG4581,CG10932,CG7010,CG7010","CG11876,CG7010,CG7113,CG10932,CG4581,CG7430","CG7010,CG10932,CG7430,CG7113,CG4581,CG11876","CG10932,CG7113,CG4335,CG2060,CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473,CG4581",12
KEGG,Taurine and hypotaurine metabolism,Amino Acid Metabolism,,,"2571,2572,51380","14415,14417,246277","CG7811,CG7811,CG7811","CG7811,CG7811,CG7811",,CG7811,"CG10932,CG7113,CG4335,CG2060,CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473,CG4581",12
