Gene ID,Gene Symbol,Species ID,miRNA,Site type,UTR_start,UTR_end,3pairing_contr,local_AU_contr,position_contr,context_score,context_percentile
7422,VEGFA,9606,hsa-miR-410,1,1152,1158,0.014,-0.009,0.0183,-0.076,8
7422,VEGFA,9606,hsa-miR-576-5p,3,1185,1191,0.007,-0.197,0.044,-0.456,96
7422,VEGFA,9606,hsa-miR-452,2,1196,1202,0.02,-0.19,0.023,-0.308,85
7422,VEGFA,9606,hsa-miR-548d-3p,2,1222,1228,-0.042,-0.085,0.02,-0.268,83
7422,VEGFA,9606,hsa-miR-200b,2,1232,1238,0.005,-0.132,0.019,-0.269,78
7422,VEGFA,9606,hsa-miR-429,2,1232,1238,-0.057,-0.132,0.019,-0.331,89
7422,VEGFA,9606,hsa-miR-200c,2,1232,1238,0.005,-0.132,0.019,-0.269,78
7422,VEGFA,9606,hsa-miR-203,1,1254,1260,-0.017,-0.09,0.0109,-0.195,66
7422,VEGFA,9606,hsa-miR-548p,3,1394,1400,0.005,-0.097,0.008,-0.394,94
7422,VEGFA,9606,hsa-miR-613,2,1444,1450,0.005,0.008,0,-0.148,55
7422,VEGFA,9606,hsa-miR-206,2,1444,1450,0.036,0.008,0,-0.117,41
7422,VEGFA,9606,hsa-miR-1,2,1444,1450,0.036,0.008,0,-0.117,41
7422,VEGFA,9606,hsa-miR-361-5p,3,1552,1558,0.003,-0.169,-0.019,-0.495,98
7422,VEGFA,9606,hsa-miR-578,3,1600,1606,0.007,-0.188,-0.027,-0.518,99
7422,VEGFA,9606,hsa-miR-185,2,1634,1640,-0.026,-0.129,-0.017,-0.333,94
7422,VEGFA,9606,hsa-miR-29c,3,1676,1682,-0.005,-0.171,-0.04,-0.526,99
7422,VEGFA,9606,hsa-miR-29b,3,1676,1682,-0.005,-0.171,-0.04,-0.526,99
7422,VEGFA,9606,hsa-miR-29a,3,1676,1682,-0.005,-0.171,-0.04,-0.526,99
7422,VEGFA,9606,hsa-miR-556-3p,1,1694,1700,0.014,-0.039,-0.0208,-0.145,38
7422,VEGFA,9606,hsa-miR-944,2,1696,1702,0.005,-0.013,-0.023,-0.192,47
7422,VEGFA,9606,hsa-miR-889,3,1713,1719,0.001,-0.081,-0.046,-0.436,96
7422,VEGFA,9606,hsa-miR-569,1,1716,1722,0.014,-0.025,-0.0224,-0.132,38
7422,VEGFA,9606,hsa-miR-548f,2,1743,1749,0.005,-0.001,-0.027,-0.184,55
7422,VEGFA,9606,hsa-miR-548a-3p,2,1743,1749,0.005,-0.001,-0.027,-0.184,54
7422,VEGFA,9606,hsa-miR-548e,2,1743,1749,-0.026,-0.001,-0.027,-0.215,68
7422,VEGFA,9606,hsa-miR-548c-3p,1,1775,1781,-0.028,-0.084,-0.0266,-0.238,77
7422,VEGFA,9606,hsa-miR-655,3,1830,1836,0.005,-0.152,-0.067,-0.524,98
7422,VEGFA,9606,hsa-miR-383,2,1848,1854,-0.026,-0.014,-0.037,-0.238,79
