HPRD_ID,PlasmoDB_ID,E value,Bit score,identity,similarity,gaps,query_length,query_coverage,hit_length,percentage coverage wrt query,
HPRD_05247,PFL1170w,2e-77,285,0.56,0.72,7,636,255,921,40.09,
HPRD_09887,PF11_0463,3e-49,192,0.34,0.55,12,874,292,1109,33.4,
HPRD_00054,PF10_0203,3e-80,292,0.75,0.89,0,181,181,210,100,
HPRD_00241,PF14_0323,1e-74,273,0.89,0.97,0,149,149,170,100,
HPRD_01604,PF13_0316,1e-56,213,0.65,0.84,0,151,151,179,100,
HPRD_01851,PFI0180w,0,762,0.79,0.9,2,448,448,476,100,
HPRD_03082,PFF0510w,4e-66,244,0.9,0.97,0,136,136,162,100,
HPRD_03334,PFL0660w,6e-41,160,0.78,0.91,4,89,89,131,100,
HPRD_04156,PFF0510w,6e-66,244,0.89,0.95,0,136,136,162,100,
HPRD_04646,MAL8P1.48,5e-15,74.3,0.51,0.71,2,76,76,130,100,
HPRD_05407,PFI1115c,9e-48,186,0.34,0.54,43,342,342,389,100,
HPRD_08931,PF13_0346,7e-66,243,0.92,0.94,0,128,128,186,100,
HPRD_11906,PFF0510w,1e-67,249,0.92,0.97,0,136,136,162,100,
HPRD_05454,PF14_0324,9e-97,349,0.36,0.55,28,543,542,600,99.81,
HPRD_00032,PFL2215w,0,655,0.82,0.93,0,375,374,394,99.73,
HPRD_05198,PFB0595w,1e-54,208,0.36,0.52,30,340,338,364,99.41,
HPRD_15979,PFE0545c,5e-23,102,0.33,0.58,7,172,171,213,99.41,
HPRD_02412,PFI1105w,1e-141,496,0.6,0.75,2,417,414,447,99.28,
HPRD_00015,PFL2215w,0,647,0.81,0.91,0,377,374,394,99.2,
HPRD_00030,PFL2215w,0,647,0.81,0.91,0,377,374,394,99.2,
HPRD_00031,PFL2215w,0,645,0.81,0.91,0,377,374,394,99.2,
HPRD_00805,PFB0445c,1e-146,513,0.58,0.73,29,428,424,484,99.06,
HPRD_09990,PF07_0033,1e-82,303,0.25,0.46,90,858,850,893,99.06,
HPRD_00479,PF14_0038,8e-36,143,0.64,0.77,1,105,104,143,99.04,
HPRD_04159,PF14_0359,9e-72,266,0.36,0.56,28,397,393,460,98.99,
HPRD_00089,PFF0430w,1e-140,494,0.47,0.68,12,531,525,571,98.87,
HPRD_01456,PF13_0328,3e-50,193,0.36,0.6,11,261,258,317,98.85,
HPRD_07021,MAL7P1.228,4e-73,271,0.31,0.52,9,509,503,721,98.82,
HPRD_01599,PFC0775w,1e-52,200,0.64,0.75,8,158,156,195,98.73,
HPRD_00449,MAL13P1.279,8e-98,352,0.6,0.74,2,292,288,329,98.63,
HPRD_05389,PFL2215w,4e-65,244,0.33,0.53,48,429,422,394,98.36,
HPRD_00447,MAL13P1.279,7e-57,216,0.4,0.6,17,303,298,329,98.34,
HPRD_06468,PFC0900w,1e-167,582,0.53,0.75,1,541,532,580,98.33,
HPRD_09143,PF11_0071,1e-137,484,0.51,0.74,17,456,448,510,98.24,
HPRD_04628,PFI1695c,3e-34,140,0.38,0.52,34,225,221,244,98.22,
HPRD_01972,PF14_0425,2e-88,321,0.49,0.63,5,364,357,405,98.07,
HPRD_11869,PF14_0399,6e-54,205,0.56,0.73,1,184,180,225,97.82,
HPRD_05763,PFI0180w,0,729,0.78,0.88,0,449,439,476,97.77,
HPRD_16070,PF13_0330,1e-171,596,0.64,0.8,4,463,452,527,97.62,
HPRD_09045,PFI0740c,3e-53,202,0.62,0.74,1,158,154,203,97.46,
HPRD_00302,MAL13P1.279,2e-96,347,0.6,0.73,3,297,289,329,97.3,
HPRD_16044,PFE0845c,3e-97,349,0.65,0.8,0,257,250,302,97.27,
HPRD_12084,PF08_0121,3e-59,222,0.58,0.78,3,177,172,267,97.17,
HPRD_03184,MAL8P1.69,3e-78,286,0.57,0.76,7,246,239,289,97.15,
HPRD_06895,PFC0285c,1e-165,576,0.56,0.73,4,535,519,575,97,
HPRD_01748,PF11_0331,1e-177,618,0.59,0.76,2,556,538,588,96.76,
HPRD_06896,PFC0350c,1e-172,599,0.57,0.74,3,543,525,581,96.68,
HPRD_10408,PFL2275c,3e-12,68.2,0.23,0.4,61,330,319,349,96.66,
HPRD_00310,MAL13P1.279,1e-101,362,0.63,0.74,2,298,288,329,96.64,
HPRD_01852,PF10_0084,0,756,0.84,0.9,0,445,430,480,96.62,
HPRD_00457,PFC0975c,7e-56,211,0.61,0.71,6,165,159,226,96.36,
HPRD_00215,MAL8P1.69,7e-75,275,0.57,0.74,8,246,237,289,96.34,
HPRD_04045,PF10_0084,0,754,0.84,0.9,0,444,427,480,96.17,
HPRD_03958,PFI0180w,0,757,0.82,0.91,0,450,432,476,96,
HPRD_00682,PFI0875w,0,798,0.65,0.79,8,654,627,677,95.87,
HPRD_01557,PF11_0087,1e-110,394,0.6,0.74,2,339,325,392,95.87,
HPRD_03959,PFI0180w,0,760,0.83,0.91,0,451,432,476,95.78,
HPRD_03960,PFI0180w,0,761,0.82,0.92,0,451,432,476,95.78,
HPRD_05074,PF11_0463,6e-45,176,0.39,0.6,7,255,244,1109,95.68,
HPRD_00680,PFF1155w,5e-40,160,0.27,0.47,56,466,445,513,95.49,
HPRD_02440,PFL1245w,1e-169,591,0.34,0.53,119,1058,1010,1188,95.46,
HPRD_08950,PFI1260c,1e-136,481,0.54,0.74,6,428,408,477,95.32,
HPRD_07174,MAL7P1.228,0,824,0.67,0.8,4,639,609,721,95.3,
HPRD_08969,PFL1425w,1e-168,585,0.54,0.75,1,545,519,588,95.22,
HPRD_04005,MAL7P1.139,2e-55,209,0.71,0.82,0,146,139,197,95.2,
HPRD_04231,PF14_0314,9e-64,239,0.3,0.54,26,425,404,488,95.05,
HPRD_05506,MAL13P1.283,1e-168,586,0.59,0.77,5,539,512,572,94.99,
HPRD_00458,PF11_0164,8e-43,168,0.44,0.61,14,216,205,235,94.9,
HPRD_06282,PFE1020w,3e-30,124,0.65,0.81,2,95,90,152,94.73,
HPRD_00774,PF08_0054,0,849,0.68,0.83,2,641,606,721,94.53,
HPRD_06784,MAL7P1.228,0,850,0.68,0.83,2,641,606,721,94.53,
HPRD_05457,MAL8P1.69,7e-84,305,0.63,0.76,5,255,241,289,94.5,
HPRD_07205,MAL7P1.228,0,835,0.67,0.82,2,646,607,721,93.96,
HPRD_00446,MAL13P1.279,4e-98,353,0.61,0.75,2,305,286,329,93.77,
HPRD_00559,PF13_0305,1e-180,625,0.7,0.82,14,462,432,474,93.5,
HPRD_02805,MAL13P1.274,1e-107,384,0.41,0.62,13,499,466,707,93.38,
HPRD_09025,PF07_0033,5e-84,308,0.27,0.47,57,840,784,893,93.33,
HPRD_00318,PF10_0153,1e-159,558,0.54,0.73,4,573,532,594,92.84,
HPRD_04232,PF14_0314,1e-62,236,0.3,0.54,26,425,393,488,92.47,
HPRD_11745,PF13_0214,7e-40,160,0.28,0.46,39,437,404,473,92.44,
HPRD_00349,PF10_0218,1e-100,359,0.42,0.62,9,466,430,616,92.27,
HPRD_02770,PF11_0351,0,744,0.61,0.75,3,679,626,697,92.19,
HPRD_00519,PFD0830w,6e-17,82.4,0.29,0.47,40,187,172,669,91.97,
HPRD_03183,MAL8P1.69,2e-77,284,0.61,0.78,7,245,225,289,91.83,
HPRD_10861,PFB0445c,1e-142,498,0.59,0.76,21,427,392,484,91.8,
HPRD_05868,PF14_0417,9e-92,333,0.3,0.49,109,704,646,960,91.76,
HPRD_00279,PF11_0096,1e-116,412,0.59,0.74,0,350,321,380,91.71,
HPRD_02818,PF08_0087,1e-101,362,0.4,0.57,42,529,485,577,91.68,
HPRD_07485,PF14_0359,1e-41,166,0.32,0.49,45,358,328,460,91.62,
HPRD_10816,PFB0635w,3e-86,314,0.31,0.55,5,548,502,556,91.6,
HPRD_05639,MAL8P1.69,7e-73,268,0.58,0.74,7,247,226,289,91.49,
HPRD_03536,PF08_0087,1e-106,379,0.42,0.58,37,521,475,577,91.17,
HPRD_15987,PFI1350c,2e-20,92.4,0.36,0.62,0,113,103,140,91.15,
HPRD_01606,PFC1020c,3e-73,270,0.55,0.73,3,264,240,297,90.9,
HPRD_03061,PFI0875w,2e-79,291,0.4,0.58,48,471,428,677,90.87,
HPRD_02819,PF08_0087,1e-119,422,0.47,0.61,36,538,488,577,90.7,
HPRD_15942,PF14_0142,1e-155,544,0.81,0.91,11,341,309,353,90.61,
HPRD_01595,PF10_0187,4e-32,131,0.6,0.8,1,115,104,142,90.43,
HPRD_00886,MAL8P1.69,3e-72,266,0.59,0.75,7,245,221,289,90.2,
HPRD_03382,PFI1685w,3e-92,333,0.5,0.7,6,351,316,394,90.02,
HPRD_03038,PFB0865w,1e-27,116,0.56,0.71,7,118,106,146,89.83,
HPRD_04533,MAL13P1.279,3e-67,250,0.45,0.64,15,326,292,329,89.57,
HPRD_00350,PFL0930w,0,696,0.3,0.47,299,1675,1496,2036,89.31,
HPRD_00684,PFB0200c,7e-56,213,0.31,0.51,7,430,384,449,89.3,
HPRD_00142,PFL0900c,1e-108,388,0.36,0.58,41,660,585,632,88.63,
HPRD_16460,PFL1180w,5e-27,115,0.34,0.53,5,202,179,319,88.61,
HPRD_00044,PFL1725w,0,661,0.72,0.81,8,529,468,596,88.46,
HPRD_04361,PFA0145c,1e-112,400,0.47,0.65,11,501,442,660,88.22,
HPRD_03625,MAL8P1.17,6e-58,220,0.31,0.5,39,505,443,528,87.72,
HPRD_05326,PFL2275c,3e-21,97.8,0.26,0.47,17,327,286,349,87.46,
HPRD_08472,PFI1490c,3e-37,151,0.24,0.44,98,527,458,645,86.9,
HPRD_09026,PF10_0370,1e-16,79.7,0.35,0.71,0,104,90,133,86.53,
HPRD_03039,PFI0475w,2e-22,99.8,0.42,0.62,9,126,109,175,86.5,
HPRD_03488,PF13_0349,1e-49,190,0.56,0.79,0,169,146,188,86.39,
HPRD_02084,MAL13P1.16,5e-22,99.8,0.25,0.57,2,220,190,252,86.36,
HPRD_01323,PFE0625w,1e-19,91.7,0.3,0.55,16,193,166,226,86.01,
HPRD_01292,PFF0520w,6e-30,126,0.3,0.5,24,313,269,548,85.94,
HPRD_03851,PF10_0368,4e-91,331,0.3,0.52,74,864,740,741,85.64,
HPRD_07617,MAL8P1.17,7e-42,167,0.27,0.46,32,511,437,528,85.51,
HPRD_07504,PF11_0352,1e-35,146,0.26,0.47,20,440,376,470,85.45,
HPRD_01860,PFL1070c,1e-140,495,0.38,0.59,47,803,685,864,85.3,
HPRD_01463,PFC0745c,8e-45,175,0.38,0.62,4,255,217,287,85.09,
HPRD_04340,PFB0875c,5e-52,201,0.29,0.5,60,536,455,514,84.88,
HPRD_16016,PFD0865c,3e-61,231,0.39,0.57,24,372,315,733,84.67,
HPRD_04553,PFI0860c,0,766,0.57,0.74,11,795,673,863,84.65,
HPRD_03479,PF14_0294,2e-68,254,0.4,0.62,9,379,320,952,84.43,
HPRD_03196,PFI0335w,1e-12,68.6,0.26,0.4,27,244,206,391,84.42,
HPRD_07181,MAL8P1.17,3e-55,211,0.32,0.5,33,508,427,528,84.05,
HPRD_03261,PF13_0326,9e-11,61.6,0.29,0.49,18,166,139,187,83.73,
HPRD_01545,PFE0625w,4e-20,92.8,0.34,0.58,3,184,154,226,83.69,
HPRD_01496,PF14_0294,3e-68,254,0.43,0.63,7,360,300,952,83.33,
HPRD_02535,PFL0740c,2e-12,65.5,0.37,0.57,0,102,85,123,83.33,
HPRD_03100,PF14_0294,2e-55,212,0.33,0.57,34,427,354,952,82.9,
HPRD_00548,MAL13P1.253,2e-22,99,0.56,0.78,0,92,76,142,82.6,
HPRD_03678,PFF0520w,1e-51,199,0.37,0.55,31,382,315,548,82.46,
HPRD_11881,PFL2015w,3e-32,134,0.35,0.55,14,292,239,706,81.84,
HPRD_13606,PFL0595c,5e-21,95.9,0.32,0.5,10,187,153,238,81.81,
