Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Perm 0.01),t-test p value
Sept2,MGI:97298,SEPT2,HGNC:7729,ENSMUSG00000026276,ENSG00000168385,485,207,3.336138,3.185755,4.17619,3.687307,5.141325,4.50547,4.444700666666667,3.566027666666667,0.543867453980966,,0.167352537074153
Sept3,MGI:1345148,SEPT3,HGNC:10750,ENSMUSG00000022456,ENSG00000100167,1858,2331,5.442562,5.233599,5.717448,4.860979,5.084491,5.635053,5.193507666666666,5.464536333333334,1.2066678962381243,,0.371185989140358
Sept4,MGI:1270156,SEPT4,HGNC:9165,ENSMUSG00000020486,ENSG00000181013,406,2170,1.19287,0.9777098,1.010955,0.01945974,-0.2538237,-0.0144186,-0.08292751999999999,1.0605116,2.209069977218264,+,0.00046588350617411
Sept5,MGI:1195461,SEPT5,HGNC:9164,ENSMUSG00000072214,ENSG00000184702,2308,2408,7.315691,7.516102,7.625525,-1.425972,1.365139,-0.1381915,-0.06634149999999997,7.485772666666667,187.67779608419588,+,0.000742246730314337
Sept6,MGI:1888939,SEPT6,HGNC:15848,ENSMUSG00000050379,ENSG00000125354,1337,1133,3.242188,4.874038,4.896287,2.798172,3.562315,1.912926,2.757804333333333,4.3375043333333325,2.9890768715785985,,0.0951823356442059
Sept7,MGI:1335094,SEPT7,HGNC:1717,ENSMUSG00000001833,ENSG00000122545,1022,1098,7.573534,7.457131,7.264431,6.963902,7.466314,6.89414,7.108118666666667,7.431698666666667,1.251432086436819,,0.18359173182743
Sept8,MGI:894310,SEPT8,HGNC:16511,ENSMUSG00000018398,ENSG00000164402,2128,2371,3.632335,3.217968,3.575325,2.883886,3.25416,2.449153,2.8623996666666667,3.4752093333333334,1.529234514173156,,0.0828546550767494
Sept9,MGI:1858222,SEPT9,HGNC:7323,ENSMUSG00000059248,ENSG00000184640,2294,2083,2.195653,2.197157,2.124516,2.599073,3.303483,2.898228,2.9335946666666666,2.1724419999999998,0.5900247316702837,,0.0207694262903226
Sept10,MGI:1918110,SEPT10,HGNC:14349,ENSMUSG00000019917,ENSG00000186522,1828,1317,1.608063,2.868801,2.417264,-1.801252,-0.2013851,-1.419122,-1.1405863666666667,2.298042666666667,10.842526268364594,+,0.00479371461925831
Sept11,MGI:1277214,SEPT11,HGNC:25589,ENSMUSG00000058013,ENSG00000138758,2456,1862,7.728243,7.158626,7.479784,7.954783,7.945601,8.179487,8.026623666666666,7.455551,0.6731161298034046,,0.0347801521767184
1810074P20Rik,MGI:1914740,KIAA0776,HGNC:23039,ENSMUSG00000040359,ENSG00000014123,2334,2114,1.207317,1.899223,1.710685,-0.7017503,-0.6315841,0.6708011,-0.22084443333333334,1.6057416666666666,3.5469674722916573,,0.0205734484257968
2400001E08Rik,MGI:1913758,LAMTOR1,HGNC:26068,ENSMUSG00000030842,ENSG00000149357,553,1421,0.1133975,-0.7133321,-0.9057631,-0.4133402,-0.1419762,-1.146341,-0.5672191333333333,-0.5018992333333333,1.0463169220666397,,0.887459754345579
2400003C14Rik,MGI:1919205,KIAA0174,HGNC:28977,ENSMUSG00000031729,ENSG00000182149,781,66,0.6898915,1.032017,0.4495028,0.7622491,1.383937,2.046604,1.3975967,0.7238037666666667,0.6268564750171343,,0.173595616568
Aak1,MGI:1098687,AAK1,HGNC:19679,ENSMUSG00000057230,ENSG00000115977,2421,1690,2.669693,2.173668,2.792243,0.9143792,0.8927187,1.461448,1.0895153000000002,2.5452013333333334,2.742869594927652,+,0.00537391069177318
Aars,MGI:2384560,AARS,HGNC:20,ENSMUSG00000031960,ENSG00000090861,879,1490,2.669693,-1.091381,-4.909792,-0.8521448,-1.115912,-0.4303372,-0.7994646666666667,-1.1104933333333333,0.8060668146095618,,0.894269508370544
Abcd2,MGI:1349467,ABCD2,HGNC:66,ENSMUSG00000055782,ENSG00000173208,107,1364,-0.6423814,-1.128243,-2.418237,-0.7777555,-0.3822005,-0.5806859,-0.5802139666666667,-1.3962871333333335,0.567985826109095,,0.206637482127822
Abcd3,MGI:1349216,ABCD3,HGNC:67,ENSMUSG00000028127,ENSG00000117528,94,864,-1.539974,-1.039705,-1.265712,0.21698,-0.9292606,-0.2750172,-0.3290992666666666,-1.281797,0.5166654318095459,,0.0581379319578514
Abhd16a,MGI:99476,ABHD16A,HGNC:13921,ENSMUSG00000007036,ENSG00000204427,1024,694,-2.434118,-1.152345,-2.737003,-1.349464,-0.819097,-0.4053648,-0.8579752666666667,-2.107822,0.4204928768858177,,0.088341396601495
Abi1,MGI:104913,ABI1,HGNC:11320,ENSMUSG00000058835,ENSG00000136754,2011,1927,4.388858,4.852678,4.93791,2.519102,3.333704,4.331475,3.3947603333333336,4.726482,2.5170286999727396,,0.0730559556029411
Abi2,MGI:106913,ABI2,HGNC:24011,ENSMUSG00000026782,ENSG00000138443,2030,1734,2.828663,3.259623,3.213025,1.594005,2.987582,3.31533,2.632305666666667,3.100437,1.3833165511910224,,0.438855986325506
Ablim1,MGI:1194500,ABLIM1,HGNC:78,ENSMUSG00000078103,ENSG00000099204,1776,1688,0.9021313,1.553571,1.489056,-0.06156084,1.859964,1.144239,0.98088072,1.3149194333333334,1.2605372164325321,,0.606084926562913
Ablim2,MGI:2385758,ABLIM2,HGNC:19195,ENSMUSG00000029095,ENSG00000163995,2017,1136,-2.949188,-1.597235,-1.846599,-2.016739,-0.3377137,-0.6404713,-0.9983080000000001,-2.1310073333333333,0.4560616189492903,,0.162702169330661
Ablim3,MGI:2442582,ABLIM3,HGNC:29132,ENSMUSG00000032735,ENSG00000173210,1305,1989,-1.000309,-0.6575364,-0.5957345,-3.797489,-2.033759,-2.183466,-2.671571333333334,-0.7511932999999998,3.785222309134848,,0.0293847128260215
Abr,MGI:107771,ABR,HGNC:81,ENSMUSG00000017631,ENSG00000159842,962,1762,-2.506765,-4.424622,-3.23006,-3.249905,-0.5713356,-0.8293906,-1.5502104,-3.3871490000000004,0.27991513488459346,,0.146092690622547
Acat1,MGI:87870,ACAT1,HGNC:93,ENSMUSG00000032047,ENSG00000075239,961,956,-2.813582,-3.034616,-1.048167,-2.587466,-1.577971,-3.924937,-2.6967913333333335,-2.2987883333333334,1.3176826917754192,,0.689412077987449
Acly,MGI:103251,ACLY,HGNC:115,ENSMUSG00000020917,ENSG00000131473,668,577,-1.220293,-0.0661905,-0.191888,-0.4440027,-0.9470816,0.06525637,-0.44194264333333333,-0.4927905000000001,0.9653688251015596,,0.918715031082935
Aco2,MGI:87880,ACO2,HGNC:118,ENSMUSG00000022477,ENSG00000100412,582,240,-2.41684,-1.370171,-2.371787,1.861834,2.760288,1.613237,2.078453,-2.0529326666666665,0.057059635190396404,+,0.00106632065420409
Acsl3,MGI:1921455,ACSL3,HGNC:3570,ENSMUSG00000032883,ENSG00000123983,983,977,-3.380345,-1.009752,-1.422251,-0.858289,-0.7441211,-0.04874953,-0.5503865433333334,-1.9374493333333334,0.3823424285293665,,0.147487966150904
Acsl6,MGI:894291,ACSL6,HGNC:16496,ENSMUSG00000020333,ENSG00000164398,2225,2145,-3.008413,-2.197031,-2.542639,-1.485617,-1.79984,-2.516298,-1.9339183333333334,-2.582694333333333,0.6378212194431357,,0.167308812679727
Actn1,MGI:2137706,ACTN1,HGNC:163,ENSMUSG00000015143,ENSG00000072110,2268,1720,4.866932,5.066751,5.665684,3.143549,3.683537,3.390005,3.405697,5.199789,3.4679713979504503,+,0.00330789757965023
Actn2,MGI:109192,ACTN2,HGNC:164,ENSMUSG00000052374,ENSG00000077522,628,1755,3.242732,3.196709,3.874151,2.56392,3.207812,3.306401,3.0260443333333336,3.437864,1.330362738615491,,0.266673743708409
Actn4,MGI:1890773,ACTN4,HGNC:166,ENSMUSG00000054808,ENSG00000130402,469,329,1.038401,0.6852365,1.104984,-0.5650125,-0.2594052,-1.197294,-0.6739039,0.9428738333333332,3.0668927866693676,,0.00610757705605874
Actr1a,MGI:1858964,ACTR1A,HGNC:167,ENSMUSG00000025228,ENSG00000138107,937,175,-0.2055902,0.3299813,0.8061137,0.9024851,1.963234,1.91259,1.5927696999999998,0.3101682666666667,0.4110536378442973,,0.0471220314477891
Actr1b,MGI:1917446,ACTR1B,HGNC:168,ENSMUSG00000037351,ENSG00000115073,938,952,0.3430263,-0.3756077,0.5179754,-0.26412,-0.02619186,1.223429,0.31103904666666665,0.161798,0.9017247048945268,,0.794578895836961
Actr2,MGI:1913963,ACTR2,HGNC:169,ENSMUSG00000020152,ENSG00000213985,178,1004,1.41634,3.276832,2.220498,1.291514,1.430795,1.867046,1.5297850000000002,2.304556666666667,1.710919245131412,,0.242828149407894
Actr3,MGI:1921367,ACTR3,HGNC:170,ENSMUSG00000026341,ENSG00000115091,898,223,0.2254768,1.899702,1.524498,2.158842,1.70269,2.52134,2.127624,1.2165589333333333,0.5317923516577078,,0.178969224041341
Adam23,MGI:1345162,ADAM23,HGNC:202,ENSMUSG00000025964,ENSG00000114948,689,651,0.03608203,0.7079461,0.3598857,-1.875588,-2.248829,-1.942232,-2.022216333333333,0.3679712766666667,5.242255281024845,+,0.000448254542421067
