MicroRNA name,Genome coordinates,Conserved region,"Start putative MRE
3'-UTR position
(NM_001025366)","End putative MRE
3'-UTR position
(NM_001025366)","MRE predicted by
microRNA.org
(468)","MRE predicted by
TargetScan
(† = MRE conserved)
(176)","MRE predicted by
DIANA microT v3.0
(38)","MRE predicted by
miRDB
(34)","MRE predicted by
Microcosm
(8)",Count,Experimental evidence
hsa-miR-205,[hg19:6:43752437-43752456:+],Conserved region 1,138,157,yes,yes†,yes,yes,yes,5 / 5,"Ye et al., PLoS ONE, 2008; Wu et al., Cell Research, 2009; Yue et al., Oncol Rep, 2012; Szczyrba et al., Int J Cancer, 2012"
hsa-miR-29b,[hg19:6:43754028-43754048:+],Conserved region 2,1729,1749,yes,yes†,yes,yes,yes,5 / 5,"Li et al., Clin Sci (Lond), 2012; Szczyrba et al., Int J Cancer, 2012"
hsa-miR-361-5p,[hg19:6:43753903-43753924:+],Conserved region 2,1604,1625,yes,yes†,yes,yes,yes,5 / 5,
hsa-miR-195,[hg19:6:43752563-43752582:+],Conserved region 1,264,283,yes,yes†,yes,,yes,4 / 5,
hsa-miR-29a,[hg19:6:43754029-43754048:+],Conserved region 2,1730,1749,yes,yes†,yes,yes,,4 / 5,
hsa-miR-29c,[hg19:6:43754029-43754048:+],Conserved region 2,1730,1749,yes,yes†,yes,yes,,4 / 5,
hsa-miR-519d,[hg19:6:43752463-43752483:+],Conserved region 1,164,184,yes,yes†,yes,,yes,4 / 5,
hsa-miR-1208,[hg19:6:43752728-43752747:+],Conserved region 1,429,448,yes,yes,n/d,yes,n/d,3 / 3,
hsa-miR-1224-5p,[hg19:6:43753335-43753353:+],Non-conserved region,1036,1054,yes,yes,n/d,yes,n/d,3 / 3,
hsa-miR-1236,[hg19:6:43752441-43752461:+],Conserved region 1,142,162,yes,yes,n/d,yes,n/d,3 / 3,
hsa-miR-548p,[hg19:6:43753630-43753651:+],Conserved region 2,1331,1352,yes,yes,n/d,yes,n/d,3 / 3,
hsa-miR-548p,[hg19:6:43753747-43753766:+],Conserved region 2,1448,1467,yes,yes†,n/d,yes,n/d,3 / 3,
hsa-miR-103,[hg19:6:43753099-43753120:+],Non-conserved region,800,821,yes,yes,yes,,,3 / 5,
hsa-miR-106a,[hg19:6:43752463-43752483:+],Conserved region 1,164,184,yes,yes†,yes,,,3 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008"
hsa-miR-106b,[hg19:6:43752465-43752483:+],Conserved region 1,166,184,yes,yes†,yes,,,3 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008"
hsa-miR-107,[hg19:6:43753099-43753120:+],Non-conserved region,800,821,yes,yes,yes,,,3 / 5,
hsa-miR-134,[hg19:6:43753711-43753734:+],Conserved region 2,1412,1435,yes,yes,,yes,,3 / 5,
hsa-miR-140-5p,[hg19:6:43753352-43753369:+],Non-conserved region,1053,1070,yes,yes†,yes,,,3 / 5,
hsa-miR-15a,[hg19:6:43752559-43752582:+],Conserved region 1,260,283,yes,yes†,yes,,,3 / 5,
hsa-miR-15b,[hg19:6:43752561-43752582:+],Conserved region 1,262,283,yes,yes†,yes,,,3 / 5,
hsa-miR-16,[hg19:6:43752560-43752582:+],Conserved region 1,261,283,yes,yes†,yes,,,3 / 5,"Karaa et al., RNA, 2009; Chamorro-Jorganes et al., Arterioscler Thromb Vasc Biol, 2011"
hsa-miR-185,[hg19:6:43753695-43753716:+],Conserved region 2,1396,1417,yes,yes,,yes,,3 / 5,
hsa-miR-185,[hg19:6:43753985-43754006:+],Conserved region 2,1686,1707,yes,yes†,,yes,,3 / 5,
hsa-miR-186,[hg19:6:43752709-43752731:+],Conserved region 1,410,432,yes,yes†,,yes,,3 / 5,
hsa-miR-206,[hg19:6:43753795-43753816:+],Conserved region 2,1496,1517,yes,yes†,,yes,,3 / 5,
hsa-miR-20a,[hg19:6:43752463-43752483:+],Conserved region 1,164,184,yes,yes†,yes,,,3 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008"
hsa-miR-297,[hg19:6:43752636-43752656:+],Conserved region 1,337,357,yes,yes,,,yes,3 / 5,"Jafarifar et al., EMBO J, 2011"
hsa-miR-299-3p,[hg19:6:43752628-43752649:+],Conserved region 1,329,350,yes,yes†,,yes,,3 / 5,"Jafarifar et al., EMBO J, 2011"
hsa-miR-339-5p,[hg19:6:43752817-43752835:+],Conserved region 1 / Non-conserved region,518,536,yes,yes,,yes,,3 / 5,
hsa-miR-339-5p,[hg19:6:43753449-43753471:+],Non-conserved region,1150,1172,yes,yes,,yes,,3 / 5,
hsa-miR-372,[hg19:6:43752457-43752482:+],Conserved region 1,158,183,yes,yes†,yes,,,3 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-374a,[hg19:6:43752654-43752677:+],Conserved region 1,355,378,yes,yes,,yes,,3 / 5,
hsa-miR-374b,[hg19:6:43752656-43752677:+],Conserved region 1,357,378,yes,yes,,yes,,3 / 5,
hsa-miR-424,[hg19:6:43752561-43752582:+],Conserved region 1,262,283,yes,yes†,yes,,,3 / 5,"Chamorro-Jorganes et al., Arterioscler Thromb Vasc Biol, 2011"
