Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Permutation 0.01),t-test p value
Sept5,MGI:1195461,SEPT5,HGNC:9164,ENSMUSG00000072214,ENSG00000184702,2308,2408,7.315691,7.516102,7.625525,-1.425972,1.365139,-0.1381915,-0.06634149999999997,7.485772666666667,187.67779608419588,+,0.000742246730314337
Cacna2d3,MGI:1338890,CACNA2D3,HGNC:15460,ENSMUSG00000021991,ENSG00000157445,1687,689,1.364969,0.648437,0.5697309,-3.585153,-4.646418,-6.482386,-4.904652333333333,0.8610456333333335,54.406154929880756,+,0.00284481014256805
Mdh1,MGI:97051,MDH1,HGNC:6970,ENSMUSG00000020321,ENSG00000014641,2420,1622,7.557096,5.877294,7.425575,2.416936,1.993315,0.5868461,1.6656990333333335,6.9533216666666675,39.06007010149102,+,0.00238457070242251
Camk2g,MGI:88259,CAMK2G,HGNC:1463,ENSMUSG00000021820,ENSG00000148660,2403,526,2.747387,3.747859,3.277023,-2.435822,-2.479389,-0.8224343,-1.9125484333333331,3.2574229999999997,36.0011586474815,+,0.00111001293310464
Gria4,MGI:95811,GRIA4,HGNC:4574,ENSMUSG00000025892,ENSG00000152578,2229,740,0.3719454,0.537351,1.152285,-4.956484,-3.319623,-3.386256,-3.887454333333333,0.6871938000000001,23.829026911408622,+,0.00144518313810632
Dbn1,MGI:1931838,DBN1,HGNC:2695,ENSMUSG00000034675,ENSG00000113758,2318,858,4.026104,3.928619,4.858724,-0.9701977,0.7255869,-0.339974,-0.1948616,4.271149,22.100553550430835,+,0.00149295901587259
Anks1b,MGI:1924781,ANKS1B,HGNC:24600,ENSMUSG00000058589,ENSG00000185046,2042,2205,5.525982,5.941206,5.593402,0.7397298,1.672609,1.687954,1.3667642666666666,5.686863333333334,19.97466035093026,+,0.00021823892221931
Dlgap4,MGI:2138865,DLGAP4,HGNC:24476,ENSMUSG00000061689,ENSG00000080845,253,2249,1.42475,1.299021,1.402236,-1.970879,-2.19027,-3.877775,-2.679641333333333,1.3753356666666667,16.621480664603794,+,0.00255708835630575
Mal2,MGI:2146021,MAL2,HGNC:13634,ENSMUSG00000024479,ENSG00000147676,1056,1036,4.979806,5.121616,5.302311,0.7423072,2.149806,0.7508153,1.2143095,5.134577666666666,15.139736244642165,+,0.0011944749897815
Rpl6,MGI:108057,RPL6,HGNC:10362,ENSMUSG00000029614,ENSG00000089009,1775,1401,1.121284,0.05071472,0.6135147,-2.118824,-3.96962,-3.097704,-3.062049333333333,0.59517114,12.61633067116158,+,0.00407265801931357
D3Bwg0562e,MGI:106530,NOT_FOUND,NOT_FOUND,ENSMUSG00000044667,ENSG00000117600,1818,1870,1.796656,1.459321,1.300635,-2.532848,-1.840059,-1.690055,-2.0209873333333332,1.5188706666666667,11.630635314847803,+,0.000287379181601521
Shisa7,MGI:3605641,SHISA7,HGNC:35409,ENSMUSG00000053550,ENSG00000187902,2422,2377,1.995619,2.392668,2.150482,-2.08267,-0.3535632,-1.425115,-1.2871160666666666,2.1795896666666668,11.055602409792135,+,0.00257372587184337
Lgi1,MGI:1861691,LGI1,HGNC:6572,ENSMUSG00000067242,ENSG00000108231,661,384,1.606585,2.343879,2.308125,-1.292248,-2.008301,-0.7966244,-1.3657244666666666,2.086196333333333,10.942881680545632,+,0.00125872652660362
Sept10,MGI:1918110,SEPT10,HGNC:14349,ENSMUSG00000019917,ENSG00000186522,1828,1317,1.608063,2.868801,2.417264,-1.801252,-0.2013851,-1.419122,-1.1405863666666667,2.298042666666667,10.842526268364594,+,0.00479371461925831
Begain,MGI:3044626,BEGAIN,HGNC:24163,ENSMUSG00000040867,ENSG00000183092,386,1732,0.7084335,1.320498,0.9433533,-2.242869,-1.661812,-3.270857,-2.3918459999999997,0.9907616,10.429568747898639,+,0.00254795697160363
Ppfia4,MGI:1915757,PPFIA4,HGNC:9248,ENSMUSG00000026458,ENSG00000143847,2183,2406,0.7132282,0.6727378,0.4617573,-2.257351,-3.307723,-2.396729,-2.6539343333333334,0.6159077666666667,9.645406893840363,+,0.000642211585413341
Pura,MGI:103079,PURA,HGNC:9701,ENSMUSG00000043991,ENSG00000185129,754,312,4.890762,4.600105,4.790508,1.274972,1.380562,2.041898,1.565810666666667,4.760458333333333,9.15555705206054,+,0.000232397078714152
Shank2,MGI:2671987,SHANK2,HGNC:14295,ENSMUSG00000037541,ENSG00000162105,2357,1673,3.188446,2.772647,3.376597,-0.4122926,0.4322382,0.08078029,0.03357529666666667,3.1125633333333336,8.450214930378044,+,0.000528374185727185
Sh3pxd2a,MGI:1298393,SH3PXD2A,HGNC:23664,ENSMUSG00000053617,ENSG00000107957,1924,1329,-2.362504,-2.577265,-2.296161,-5.277577,-6.41118,-4.737331,-5.475362666666666,-2.4119766666666664,8.359322380662539,+,0.0036077523418396
Dlgap2,MGI:2443181,DLGAP2,HGNC:2906,ENSMUSG00000047495,ENSG00000198010,1025,1045,1.773022,1.997308,1.976175,-1.388729,-0.6817276,-1.365841,-1.1454325333333333,1.9155016666666669,8.345128125905317,+,0.000227586580394263
Dlgap3,MGI:3039563,DLGAP3,HGNC:30368,ENSMUSG00000042388,ENSG00000116544,1429,847,3.011405,3.33454,3.164161,-0.4263618,0.5529342,0.203852,0.11014146666666669,3.1700353333333333,8.339112588833089,+,0.000529845307354535
Kalrn,MGI:2685385,KALRN,HGNC:4814,ENSMUSG00000061751,ENSG00000160145,909,2119,1.126597,0.8649065,1.452926,-2.497287,-0.9517039,-2.262329,-1.9037733,1.1481431666666666,8.293128614691232,+,0.00392144193258176
Dpp6,MGI:94921,DPP6,HGNC:3010,ENSMUSG00000061576,ENSG00000130226,1520,2378,-1.423036,-1.619736,-0.972672,-4.493946,-4.199672,-4.370939,-4.3548523333333335,-1.3384813333333334,8.091297117874479,+,0.000135661489985935
